排名,分數,標題,說明,URL,article_id,來源Excel
1,24,p193　心裡孤獨是思想上的寂寞,"孤獨+12, 寂寞+12",https://books.masterhsingyun.org/ArticleDetail/artcle20894,20894,人間萬事.xlsx
2,20,p208　單親家庭,"家庭+8, 單親+12",https://books.masterhsingyun.org/ArticleDetail/artcle4888,4888,人間萬事.xlsx
3,20,p127　爸爸的煩惱,"爸爸+10, 煩惱+10",https://books.masterhsingyun.org/ArticleDetail/artcle4863,4863,人間萬事.xlsx
4,20,p276　丈夫對妻子,"丈夫+10, 妻子+10",https://books.masterhsingyun.org/ArticleDetail/artcle19982,19982,人間萬事.xlsx
5,20,p362　妻子對丈夫,"丈夫+10, 妻子+10",https://books.masterhsingyun.org/ArticleDetail/artcle20751,20751,人間萬事.xlsx
6,20,p054　死亡不要恐懼,"恐懼+8, 死亡+12",https://books.masterhsingyun.org/ArticleDetail/artcle20808,20808,人間萬事.xlsx
7,18,p156　虐待老人,"虐待+10, 老人+8",https://books.masterhsingyun.org/ArticleDetail/artcle4872,4872,人間萬事.xlsx
8,14,p011　關於自殺,自殺+14,https://books.masterhsingyun.org/ArticleDetail/artcle4824,4824,人間萬事.xlsx
9,14,p035　憂鬱症,憂鬱+14,https://books.masterhsingyun.org/ArticleDetail/artcle5512,5512,人間萬事.xlsx
10,14,p238　四種焦慮,焦慮+14,https://books.masterhsingyun.org/ArticleDetail/artcle5195,5195,人間萬事.xlsx
11,14,p057　女人家暴,家暴+14,https://books.masterhsingyun.org/ArticleDetail/artcle4839,4839,人間萬事.xlsx
12,14,p255　自殺前後,自殺+14,https://books.masterhsingyun.org/ArticleDetail/artcle5200,5200,人間萬事.xlsx
13,14,p258　走不下去,走不下去+14,https://books.masterhsingyun.org/ArticleDetail/artcle5201,5201,人間萬事.xlsx
14,14,p128　自殺不能解決問題,自殺+14,https://books.masterhsingyun.org/ArticleDetail/artcle17837,17837,人間萬事.xlsx
15,14,p236　自殺也是殺生,自殺+14,https://books.masterhsingyun.org/ArticleDetail/artcle17914,17914,人間萬事.xlsx
16,14,p082　臨終一念要清楚,臨終+14,https://books.masterhsingyun.org/ArticleDetail/artcle18645,18645,人間萬事.xlsx
17,12,p028　面對死亡,死亡+12,https://books.masterhsingyun.org/ArticleDetail/artcle5232,5232,人間萬事.xlsx
18,12,p264　那是我的父親,父親+12,https://books.masterhsingyun.org/ArticleDetail/artcle10440,10440,人間萬事.xlsx
19,12,p255　婆媳包粽子,婆媳+12,https://books.masterhsingyun.org/ArticleDetail/artcle10629,10629,人間萬事.xlsx
20,12,p147　不怖於生死,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle13873,13873,人間萬事.xlsx
21,12,p297　孤獨,孤獨+12,https://books.masterhsingyun.org/ArticleDetail/artcle5214,5214,人間萬事.xlsx
22,12,p180　淡泊生死,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle14075,14075,人間萬事.xlsx
23,12,p079　四等婆媳,婆媳+12,https://books.masterhsingyun.org/ArticleDetail/artcle4847,4847,人間萬事.xlsx
24,12,p238　發心就不會有低潮,低潮+12,https://books.masterhsingyun.org/ArticleDetail/artcle17127,17127,人間萬事.xlsx
25,12,p185　婆媳關係,婆媳+12,https://books.masterhsingyun.org/ArticleDetail/artcle4881,4881,人間萬事.xlsx
26,12,p152　覆船生死,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle7156,7156,人間萬事.xlsx
27,12,p213　家庭是生活的暖窩,"家庭+8, 生活+4",https://books.masterhsingyun.org/ArticleDetail/artcle21413,21413,人間萬事.xlsx
28,12,p120　失業怎麼辦？,失業+12,https://books.masterhsingyun.org/ArticleDetail/artcle4741,4741,人間萬事.xlsx
29,12,p273　母親的信,母親+12,https://books.masterhsingyun.org/ArticleDetail/artcle6500,6500,人間萬事.xlsx
30,12,p304　母親的心,母親+12,https://books.masterhsingyun.org/ArticleDetail/artcle10219,10219,人間萬事.xlsx
31,12,p358　父母恩,父母+12,https://books.masterhsingyun.org/ArticleDetail/artcle13975,13975,人間萬事.xlsx
32,12,p226　生死由他,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle6058,6058,人間萬事.xlsx
33,12,p104　分手,分手+12,https://books.masterhsingyun.org/ArticleDetail/artcle3531,3531,人間萬事.xlsx
34,12,p318　劉玉英老奶奶（大師母親）,母親+12,https://books.masterhsingyun.org/ArticleDetail/artcle22084,22084,人間萬事.xlsx
35,12,p070　夫妻不和,夫妻+12,https://books.masterhsingyun.org/ArticleDetail/artcle4844,4844,人間萬事.xlsx
36,12,p143　夫妻之道,夫妻+12,https://books.masterhsingyun.org/ArticleDetail/artcle22337,22337,人間萬事.xlsx
37,12,p014　父母,父母+12,https://books.masterhsingyun.org/ArticleDetail/artcle5505,5505,人間萬事.xlsx
38,12,p026　結婚三階段,結婚+12,https://books.masterhsingyun.org/ArticleDetail/artcle4829,4829,人間萬事.xlsx
39,12,p042　識是生死本,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle14006,14006,人間萬事.xlsx
40,12,p213　勘破生死幽闇,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle10415,10415,人間萬事.xlsx
41,12,p292　生死無憂,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle11777,11777,人間萬事.xlsx
42,12,p065　生死問題,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle13833,13833,人間萬事.xlsx
43,12,p394　生死,生死+12,https://books.masterhsingyun.org/ArticleDetail/artcle10697,10697,人間萬事.xlsx
44,12,p105　夫妻爭餅,夫妻+12,https://books.masterhsingyun.org/ArticleDetail/artcle10340,10340,人間萬事.xlsx
45,12,p156　讚美是夫妻相處之道,夫妻+12,https://books.masterhsingyun.org/ArticleDetail/artcle19090,19090,人間萬事.xlsx
