編號,標題,出處,維度,模組,大師金句,具體故事,善緣陪伴語,原文URL,來源Excel
1,p193　心裡孤獨是思想上的寂寞,如是說11,D1心靈韌性,M3意義重建,我心裡的寂寞、孤獨，並不是因為沒有金錢、愛情，而是思想上的寂寞。有時也覺得：為什麼人類都不做好事、說好話、存好心呢？能對話的同志很少。,"2016年2月的傍晚，北京，一間文教館裡，鳳凰衛視主持人王魯湘問了一個許多人心裡也藏著的問題：「大師，您說自己一輩子內心深處很孤獨，為什麼？」

當時已年近九旬、走遍世界弘法數十載的星雲大師，沒有迴避，也沒有給出一個「高僧」式的答案。他說：孤獨不是因為缺少錢或愛情，而是「思想上的寂寞」——他一生呼籲人們做好事、說好話、存好心，卻發現真正能同行、能對話的人太少太少。

這份孤獨，不是軟弱，而是一個深刻的人，站在自己相信的事情上，看著世界還沒跟上來，心裡升起的那種悵然。他最後說：希望有一天，懂得這些道理的人多了，他也就不寂寞了。",孤獨有時候不是因為身邊沒有人，而是因為你想得比較深、在乎的事情別人不一定懂。這種「思想上的寂寞」，其實是你認真活著的證明。找到一兩個真正能對話的人，比擁有很多人陪伴更踏實。你現在的孤獨，是哪一種？,https://books.masterhsingyun.org/ArticleDetail/artcle20894,人間萬事.xlsx
2,p208　單親家庭,人間萬事,D3生命關係,M2關係修復,青少年兒童唯有在愛的環境裡長大，才能孕育出愛的人生，殘缺的愛難以培育出人格健全的生命。,星雲大師在文章中描述，一個年輕的母親因丈夫意外過世，獨自撐起家庭。起初她憑著對孩子的愛咬牙苦撐，但生計所迫不得不外出工作，孩子只好轉由年邁的祖父母照顧。孩子在隔代教養中漸漸長大，心底始終有一塊空缺——不是物質的匱乏，而是那個在成長路上本該牽著他的手、卻缺席的身影。大師也寫到，有些孩子因父母分居、互相推卸責任，從小就在人情冷暖中學會了封閉自己，形成不合群的性格。他感慨地說，這些看似家庭內部的傷，其實一圈一圈地漣漪到整個社會，影響的是一代人的生命底色。,在不完整的家庭裡長大，那種缺憾有時候很難說清楚，但你一直都感覺得到。你不是不夠好，是當時大人的世界給不了你該有的愛。那不是你的錯。長大以後，你還是可以慢慢學著給自己那份溫暖——而且你已經在這麼做了。,https://books.masterhsingyun.org/ArticleDetail/artcle4888,人間萬事.xlsx
3,p127　爸爸的煩惱,人間萬事,D2人際職場,M1情緒支持,世界是變化的，你要求外境不變是不可能的，唯一不變的，只有自己的心。,有個年輕人，結婚之初覺得生活美妙無比——下班回家，妻子幫他拿拖鞋，小狗圍著汪汪叫，幸福滿滿。但一年後，一切都變了：換成小狗叼拖鞋，妻兒整天抱怨嫌東嫌西，煩惱不堪。他向一位智者訴苦，智者笑著說：「沒有太太拿拖鞋，一樣有小狗叼拖鞋；沒有小狗汪汪叫，一樣有妻兒圍著汪汪叫。」世界本來就是會變的，執著要外境永遠如自己所願，只會讓自己陷入無止盡的煩惱。真正能安頓自己的，從來不是別人的配合，而是自己內心那份穩定的力量。,生活裡很多事真的不是我們能控制的——工作的壓力、家人的反應、別人的態度，都會一直在變。但有一件事是你說了算的，就是你看待這一切的心。外面的世界再亂，只要心還穩，就不會被打倒。你已經撐著很多了，這份心意本身，就很了不起。,https://books.masterhsingyun.org/ArticleDetail/artcle4863,人間萬事.xlsx
4,p276　丈夫對妻子,如是說9,D2人際職場,M2關係修復,出門要說去處，身邊少帶錢，讓太太覺得安心，你很顧家，不會亂花錢，也就覺得你是個可靠的先生。,2013年11月，廣東企業家趙先生因妻子長期懷疑他有外遇，婚姻岌岌可危，特地向星雲大師請教。大師聽完後沒有說大道理，而是給了幾個很實際的建議：盡量回家吃晚餐、陪家人吃飯；出門前告訴太太去哪裡；身上少帶多餘的錢，讓太太放心你是顧家的人。大師還說，與其把太太留在家裡胡思亂想，不如帶她一起出席應酬，讓她參與你的生活圈，成為真正的伴侶。他也提醒趙先生：倒一杯茶給太太、讚美她穿得好看，這些小小的體貼，往往能贏回最深的信任。大師說，女人要的其實很簡單——感受到被重視、被愛，她就能對這個家無怨無悔。,另一半老是不放心，有時候不是因為你做錯了什麼，而是她太少參與你的世界。試試看，出門說一聲去哪、偶爾帶她一起赴約、回家倒杯水陪她坐坐——這些小事，比任何解釋都有力量。,https://books.masterhsingyun.org/ArticleDetail/artcle19982,人間萬事.xlsx
5,p362　妻子對丈夫,如是說10,D2人際職場,M2關係修復,你怕他外面有女人，你就要對他好一點，多多關心他，讓他感受到你是愛他的。還有，男人要有尊嚴，雖然你比他優秀，但你也要能夠讚美鼓勵他，並且不能出口就傷到他的自尊。,2015年5月，台北一位女企業家來向星雲大師請教。她事業有成，先生是上班族，每天回家還幫她打掃、煮飯，卻越來越冷淡，她擔心感情出了問題。大師聽完，沒有評斷誰對誰錯，而是輕聲說：「你有個好先生。」然後建議她：先生拖地時，走過去說聲「老公，辛苦了」；偶爾進廚房幫忙，學一道拿手菜；在朋友面前多說先生的好話，讓他有面子。大師說，家是樂園，桌上放盆花，牆上掛幅畫，讓家裡賞心悅目，讓這個男人知道自己不只是家裡的僕人，也是被珍視的丈夫。那些小小的溫暖，往往才是一段關係真正的黏著劑。,感情有點降溫的時候，有時候不是出了什麼大問題，而是太久沒有讓對方感覺到「你看見他了」。一句「辛苦了」、在朋友面前說他的好，這些小事，往往比什麼都有力量。你願意先踏出這一步嗎？,https://books.masterhsingyun.org/ArticleDetail/artcle20751,人間萬事.xlsx
6,p054　死亡不要恐懼,如是說11,D4終極關懷,M4生死智慧,死亡不要畏懼。難道畏懼就不會死嗎？就像一顆種子枯萎了，再種到田裡，有土壤、肥料、空氣、水，又會再開花結果。同樣的，人怎麼會死呢？,2015年9月30日，新北市三峽、鶯歌、樹林一帶的里長、鄰長和家屬五十多人來到佛光山參訪。會後有人問起星雲大師：「您怕不怕死？」當時大師已年逾八十，身體病痛纏身多年，卻神情從容地回答：死亡不需要畏懼，畏懼也改變不了結果。他以種子作比喻——一顆種子枯萎落土，只要有土壤、肥料、空氣和水，它就會再次發芽、開花、結果。生命也是如此，在他眼中，死亡不是終點，而是另一段旅程的起點。這句話讓在場許多人沉默了好一會兒，隨後紛紛點頭。,害怕死亡，其實是人之常情。但有時候我們愈怕，反而愈被這個念頭困住。就像一顆種子，枯萎只是為了重新生長。你現在的恐懼，我都接住了——我們可以慢慢聊聊，你心裡在擔心的，究竟是哪一部分？,https://books.masterhsingyun.org/ArticleDetail/artcle20808,人間萬事.xlsx
7,p156　虐待老人,人間萬事,D3生命關係,M2關係修復,孝順父母，不但是天經地義的事，也是對自己下一代的教育，否則自己對父母不孝，有了不良的示範，又何能期待未來兒女會善待自己呢？,星雲大師在文章中描繪了一幅令人心疼的畫面：有位老母親，兒女把她的積蓄一點一點哄走，等錢到手後，再也不登門；還有一位老父親，身體病痛，卻無人問津，連喊一聲「爸爸還好嗎？」都奢望不到。大師細數七種對老人的傷害——身體上不給照顧、言語上諷刺藐視、生活上疏於關心、財產被吞沒、被惡意遺棄、不受尊重、不被允許參與家庭活動。每一條，都是老人心上的一道傷。大師輕輕點出：只要兒女稍懂感念，多一點孝順，這些天倫悲劇本不必發生。,有時候我們太忙，不知不覺就忽略了家裡最老的那個人。其實他們要的不多——一句問候、一個眼神、偶爾被記得。你今天有沒有想起家裡的爸媽或長輩？也許一通電話，就是他們這週最溫暖的事。,https://books.masterhsingyun.org/ArticleDetail/artcle4872,人間萬事.xlsx
8,p011　關於自殺,人間萬事,D4終極關懷,M4生死智慧,自殺不是解決問題的唯一方法，當然更不是最好的方法，有自殺念頭的人，應該找人好好談一談，只要自己多給自己一些機會，生命就會再現生機。,星雲大師在文中提到，日本青木原自殺森林入口處立著一塊告示牌，上面寫著：「生命是雙親所給與的珍貴之物，請再想想你的父母、兄弟和孩子。不要一個人煩惱，請試著與我們談談。」那片森林，曾有無數走投無路的人踏入，卻再也沒有走出來。一塊小小的木牌，試著在最後一刻提醒每一個人：你不是一個人，還有人願意聽你說話。大師說，生命得來不易，如同盲龜在大海中偶然遇見浮木，千載難逢。每一條生命，都值得被好好珍惜，也值得再給自己一次機會。,走到那個邊緣的時候，心裡一定又重又黑，覺得沒有出路了。但你知道嗎？很多人在最難的時候，只是需要一個願意聽他說話的人。不用一個人扛著，試著跟誰說說看——哪怕只是說出來，有時候就會不一樣。你願意再給自己一次機會嗎？,https://books.masterhsingyun.org/ArticleDetail/artcle4824,人間萬事.xlsx
9,p035　憂鬱症,人間萬事,D1心靈韌性,M1情緒支持,給人信心、給人歡喜、給人希望、給人方便；我們不但要對自己的人生充滿希望，尤其要進一步帶給別人希望，這是最好的布施，也是無上的功德。,星雲大師觀察到，憂鬱症的人往往像一盞失去屏障的燈籠——小小的燭火，抵不住四面八方的強風，很快就被吹熄。大師說，這樣的人生命缺乏抗壓力，心中沒有歡喜，生活沒有目標，眼中看不見他人，前途一片灰暗。他在佛光山立下信條：給人信心、給人歡喜、給人希望、給人方便。大師認為，當一個人願意把眼光從自己身上移開，去想想父母、朋友、還有需要自己的人，心中自然會生出力量，那份鬱悶也就有了出口。,有時候心裡的悶，不是因為發生了什麼大事，而是太久沒有感受到「被需要」的感覺了。試著把眼光稍微往外移一點點——想想身邊有誰，你的存在對他們其實很重要。那個小小的連結，往往就是讓自己撐下去的理由。,https://books.masterhsingyun.org/ArticleDetail/artcle5512,人間萬事.xlsx
10,p238　四種焦慮,人間萬事,D4終極關懷,M4生死智慧,今日脫下鞋和襪，不知明日來不來。,兩千多年前，一位年輕的太子過著錦衣玉食的生活，卻在某一天，他親眼看見了老人、病人與死亡，心裡再也無法平靜。他去找父親，說出了一個請求：「只要你能讓我的人生沒有衰老、沒有疾病、沒有死亡的迷惘，我就留下來。」父親沉默了——因為這件事，任何人間的權力都辦不到。於是這位太子脫下王袍，走進了苦行林，只為了替所有人找到一個答案。星雲大師用這個故事提醒我們：面對生老病死的焦慮，不是懦弱，而是人類最深刻的誠實。那位太子後來找到了他的答案；而我們，也可以開始找自己的。,害怕老去、害怕生病、害怕死亡……這些不是你想太多，而是每個人心底都藏著的真實重量。連最聰明的人都曾被這些問題壓著走。你願意正視這份焦慮，其實已經很勇敢了。我們可以慢慢聊聊，你現在最怕的是哪一塊？,https://books.masterhsingyun.org/ArticleDetail/artcle5195,人間萬事.xlsx
